,title,publishers,sheet_music,date,month,day,year,chart
74,CRAZY LITTLE THING CALLED LOVE,(Beech-wood Music Corp. -- ASCAP/EMI Music Publish-ing Ltd. -- PRS/Queen Music Ltd. -- PRS),HL,2019-01-05,01,05,2019,RO  24
75,CREEME,(WB Music Corp. -- ASCAP/Kobalt Songs Music Publishing LLC -- ASCAP/Sony/ATV Discos Music Publishing LLC -- ASCAP/Filly Andres Lima Maya Publishing Designee -- ASCAP/Lenin Yorney Palacios Machado Publishing Designee -- ASCAP/Juan Camilo Vargas Publishing Designee -- ASCAP/Kevyn Mauricio Cruz Publishing Desig-nee -- ASCAP),AMP/HL,2019-01-05,01,05,2019,LT  21
76,CUANDO TE BESE,(On The Drums Publishing -- ASCAP/Big Ligas Publishing -- ASCAP/Cristian Andres Salazar Publishing Designee -- ASCAP),,2019-01-05,01,05,2019,LT  39
77,CULPABLES,(Songs Of Kobalt Music Publishing America  Inc. -- BMI/Warner-Tamerlane Publish-ing Corp. -- BMI/WB Music Corp. -- ASCAP/On The Drums Publishing -- ASCAP/Gazmey Music Pub-lishing -- ASCAP/Girl Power Publishing -- ASCAP/Kobalt Songs Music Publishing LLC -- ASCAP/Wichitou Music -- ASCAP/Jedy Squat Music -- ASCAP),AMP,2019-01-05,01,05,2019,LT  14
78,DANCE MACABRE,(Papastrello Songs -- STIM/BMG Gold Songs -- ASCAP/Universal Music Pub-lishing MGB Scandinavia AB -- STIM),HL,2019-01-05,01,05,2019,RO  28
79,DANGEROUS,(Forever Rich -- ASCAP/Music & Dreams Publishing -- ASCAP/WB Music Corp. -- ASCAP/Universal Music Corp. -- ASCAP/Ohaji Publishing -- ASCAP/Rakim Allen Publishing Designee -- ASCAP/A Max Entertainment Publishing -- ASCAP/Artist Publishing Group West -- ASCAP/My Lord Prophet Music -- ASCAP/Warner-Tamerlane Publishing Corp. -- BMI/Mele Ray Moore Ent. -- ASCAP/All Gold Everything LLC -- BMI/EMI April Music  Inc. -- ASCAP/Songs Of Universal  Inc. -- BMI),AMP/HL,2019-01-05,01,05,2019,H100  62 ; RBH  20 ; RS  18
80,DARKSIDE,(MER Publishing -- STIM/Sony/ATV Music Publishing Scandinavia AB -- STIM/Stel-lar Songs Ltd. -- PRS/Warner/Chappell Music Publishing Ltd. -- PRS/Create Music Publishing -- ASCAP/IDAP Music -- ASCAP/BMG Gold Songs -- ASCAP/Copyright Control/Warner-Tamerlane Publishing Corp. -- BMI),AMP/HL,2019-01-05,01,05,2019,DES   9
81,DEMONS AND ANGELS,(Not Listed),,2019-01-05,01,05,2019,H100  94 ; RBH  37
82,DESPACITO,(Los Cangris Publishing -- ASCAP/Sony/ATV Discos Music Publishing LLC -- ASCAP/Sony/ATV Rhythm -- SESAC/DaFons Songs -- BMI/Sony/ATV Songs LLC -- BMI/Excelender Songs -- SESAC/Bieber Time Publishing -- ASCAP/Uni-versal Music Corp. -- ASCAP/Poo BZ Publishing Inc. -- ASCAP/BMG Gold Songs -- ASCAP/Music Of Underbyte -- BMI/These Are Pulse Songs -- BMI/Sony/ATV Latin Music Publishing -- LLC -- BMI/Music Of Windswept -- ASCAP/Hitco South -- ASCAP),HL,2019-01-05,01,05,2019,LT   3
83,DIAMOND HEART,(MER Publishing -- STIM/Sony/ATV Music Publishing Scandinavia AB -- STIM/Stellar Songs Ltd. -- PRS/Copyright Con-trol),HL,2019-01-05,01,05,2019,DES  39
84,THE DIFFERENCE,(Warner-Tamerlane Publishing Corp. -- BMI/Ritten by Rhettro -- BMI/Mr. Buck Lucky -- BMI/Bump Into Genius Music -- BMI/Neon Cross Music -- BMI/Magic Mustang Music Inc. -- BMI),AMP,2019-01-05,01,05,2019,CS  36
85,DIFFERENT WORLD,(MER Publishing -- STIM/Sony/ATV Music Publishing Scandinavia AB -- STIM/Stellar Songs Ltd -- NS/BLNK Music Publishing AB -- ASCAP/Copyright Control),HL,2019-01-05,01,05,2019,DES  32
86,DISEASE,(Clubs Fat Jams -- ASCAP/Songs Of Red Bull -- ASCAP),,2019-01-05,01,05,2019,RO  47
87,DOLOR Y AMOR,(Melodies Of AfinArte -- ASCAP),,2019-01-05,01,05,2019,LT  45
